"Ano","Total","0...5.000","5.001...10.000","10.001...13.500","13.501...19.000","19.001...27.500","27.501...32.500","32.501...40.000","40.001...50.000","50.001...100.000","100.001...250.000","250.001..."
1990,887 561,471 369,199 359,69 547,61 954,46 167,13 769,11 392,6 886,6 079,868,171
1991,920 424,436 886,207 861,79 507,73 341,59 851,19 699,18 006,11 942,11 648,1 440,243
1992,976 150,431 216,219 880,85 625,83 630,69 204,24 489,24 023,17 313,18 444,2 034,292
1993,1 058 825,441 678,237 313,94 725,93 751,80 705,29 502,29 832,22 510,25 522,2 932,355
1994,1 098 747,444 076,249 079,99 857,99 473,84 647,31 429,31 779,24 768,29 373,3 830,436
1995,1 141 942,433 338,263 424,106 943,106 457,92 641,33 886,35 167,28 363,35 947,5 284,492
1996,1 179 848,421 342,272 527,112 863,112 872,99 764,37 171,38 799,32 474,44 188,7 071,777
1997,1 185 321,386 130,276 410,118 163,117 757,105 854,40 306,42 035,36 049,52 415,9 248,954
1998,1 194 471,356 358,277 426,123 031,126 128,112 707,42 397,45 406,38 783,59 229,11 736,1 270
1999,1 232 715,333 575,280 052,129 095,135 185,123 611,46 851,51 185,44 395,71 310,15 617,1 839
2000,1 282 678,319 923,288 522,136 796,144 259,132 633,51 246,56 820,49 413,81 996,19 021,2 049
2001,1 337 891,268 429,281 376,149 208,167 273,160 225,60 823,66 557,59 107,98 529,23 519,2 845
2002,1 353 574,254 777,273 267,149 457,170 858,165 418,65 063,70 920,64 206,110 095,26 860,2 653
2003,1 404 400,276 626,277 896,152 326,172 863,169 501,66 298,73 271,66 518,116 589,29 347,3 165
2004,1 503 565,271 393,289 495,163 194,187 715,186 492,74 130,82 289,75 013,134 117,35 762,3 965
2005,1 518 752,264 580,286 389,165 436,191 600,192 059,75 508,84 499,78 638,139 281,36 614,4 148
2006,1 415 288,254 410,270 571,157 640,180 024,178 005,68 669,75 916,70 361,123 555,32 581,3 556
2007,1 450 823,243 902,268 716,161 750,188 629,188 053,72 303,80 152,74 640,132 294,36 347,4 037
2008,1 398 934,223 258,261 155,161 019,186 876,186 429,70 589,77 707,71 736,124 052,32 943,3 170
2009,1 383 945,225 219,251 506,157 023,184 478,185 573,70 473,77 064,71 892,125 029,32 831,2 857
2010,1 410 842,231 154,252 798,157 011,186 738,189 855,72 369,80 046,74 195,130 152,33 782,2 742
2011,1 384 577,238 486,250 759,154 538,182 950,186 399,70 659,78 029,70 895,120 505,29 041,2 316
2012,1 384 943,259 629,256 097,157 915,187 727,183 297,69 534,75 639,64 739,104 384,23 832,2 150
2013,1 445 112,295 748,292 393,161 031,180 993,181 125,66 230,73 478,63 833,106 093,22 438,1 750
2014,1 497 086,305 063,301 669,167 476,188 715,188 565,69 022,75 366,66 227,109 142,23 932,1 909
2015,1 549 083,325 411,304 378,173 640,191 272,198 002,72 404,78 342,68 277,111 407,23 978,1 972
2016,1 648 427,330 192,310 063,183 957,206 034,217 627,80 367,86 783,77 129,125 676,28 300,2 299
